card_type_id,name,hp,rarity,artist,supertype,convertedRetreatCost,set_name,set_series,number,type_1,subtype_1,nationalPokedexNumber,num_abilities,num_attacks,num_resistances,num_weaknesses,price_type,price_bucket,release_year
pl1-2_holofoil,Blastoise,130,Rare Holo,Kagemaru Himeno,Pokémon,2,Platinum,Platinum,2,Water,Stage 2,9.0,1,2,0,1,holofoil,low,2009
pl1-2_reverseHolofoil,Blastoise,130,Rare Holo,Kagemaru Himeno,Pokémon,2,Platinum,Platinum,2,Water,Stage 2,9.0,1,2,0,1,reverseHolofoil,low,2009
ex3-2_holofoil,Altaria,80,Rare Holo,Atsuko Nishida,Pokémon,1,Dragon,EX,2,Colorless,Stage 1,334.0,0,2,2,1,holofoil,low,2003
ex3-2_reverseHolofoil,Altaria,80,Rare Holo,Atsuko Nishida,Pokémon,1,Dragon,EX,2,Colorless,Stage 1,334.0,0,2,2,1,reverseHolofoil,low,2003
dp3-2_holofoil,Blastoise,120,Rare Holo,Daisuke Ito,Pokémon,2,Secret Wonders,Diamond & Pearl,2,Water,Stage 2,9.0,1,1,0,1,holofoil,low,2007
dp3-2_reverseHolofoil,Blastoise,120,Rare Holo,Daisuke Ito,Pokémon,2,Secret Wonders,Diamond & Pearl,2,Water,Stage 2,9.0,1,1,0,1,reverseHolofoil,low,2007
base3-2_firstEditionHolofoil,Articuno,70,Rare Holo,Mitsuhiro Arita,Pokémon,2,Fossil,Base,2,Water,Basic,144.0,0,2,1,0,firstEditionHolofoil,high,1999
pl3-2_holofoil,Blaziken FB,80,Rare Holo,Motofumi Fujiwara,Pokémon,1,Supreme Victors,Platinum,2,Fire,Basic,257.0,0,2,0,1,holofoil,low,2009
pl3-2_reverseHolofoil,Blaziken FB,80,Rare Holo,Motofumi Fujiwara,Pokémon,1,Supreme Victors,Platinum,2,Fire,Basic,257.0,0,2,0,1,reverseHolofoil,low,2009
ex11-2_holofoil,Crobat δ,90,Rare Holo,Ryo Ueda,Pokémon,0,Delta Species,EX,2,Grass,Stage 2,169.0,0,2,0,1,holofoil,low,2005
ex11-2_reverseHolofoil,Crobat δ,90,Rare Holo,Ryo Ueda,Pokémon,0,Delta Species,EX,2,Grass,Stage 2,169.0,0,2,0,1,reverseHolofoil,low,2005
pop6-2_normal,Lucario,90,Rare,Kouki Saitou,Pokémon,1,POP Series 6,POP,2,Fighting,Stage 1,448.0,0,2,0,1,normal,low,2007
xy2-2_normal,Metapod,70,Uncommon,kawayoo,Pokémon,2,Flashfire,XY,2,Grass,Stage 1,11.0,1,1,0,1,normal,low,2014
xy2-2_reverseHolofoil,Metapod,70,Uncommon,kawayoo,Pokémon,2,Flashfire,XY,2,Grass,Stage 1,11.0,1,1,0,1,reverseHolofoil,low,2014
base4-2_holofoil,Blastoise,100,Rare Holo,Ken Sugimori,Pokémon,3,Base Set 2,Base,2,Water,Stage 2,9.0,1,1,0,1,holofoil,high,2000
gym1-2_firstEditionHolofoil,Brock's Rhydon,80,Rare Holo,Ken Sugimori,Pokémon,3,Gym Heroes,Gym,2,Fighting,Stage 1,112.0,1,1,1,1,firstEditionHolofoil,high,2000
hgss1-2_holofoil,Azumarill,90,Rare Holo,Kouki Saitou,Pokémon,2,HeartGold & SoulSilver,HeartGold & SoulSilver,2,Water,Stage 1,184.0,0,2,0,1,holofoil,low,2010
hgss1-2_reverseHolofoil,Azumarill,90,Rare Holo,Kouki Saitou,Pokémon,2,HeartGold & SoulSilver,HeartGold & SoulSilver,2,Water,Stage 1,184.0,0,2,0,1,reverseHolofoil,low,2010
det1-2_holofoil,Ludicolo,140,Rare,Framestore,Pokémon,3,Detective Pikachu,Sun & Moon,2,Grass,Stage 2,272.0,1,1,0,1,holofoil,low,2019
sm9-2_normal,Weedle,40,Common,Shibuzoh.,Pokémon,1,Team Up,Sun & Moon,2,Grass,Basic,13.0,0,2,0,1,normal,low,2019
sm9-2_reverseHolofoil,Weedle,40,Common,Shibuzoh.,Pokémon,1,Team Up,Sun & Moon,2,Grass,Basic,13.0,0,2,0,1,reverseHolofoil,low,2019
ex12-2_holofoil,Aggron,110,Rare Holo,Hisao Nakamura,Pokémon,4,Legend Maker,EX,2,Metal,Stage 2,306.0,0,2,1,1,holofoil,low,2006
ex12-2_reverseHolofoil,Aggron,110,Rare Holo,Hisao Nakamura,Pokémon,4,Legend Maker,EX,2,Metal,Stage 2,306.0,0,2,1,1,reverseHolofoil,low,2006
ex7-2_holofoil,Dark Ampharos,120,Rare Holo,Emi Miwa,Pokémon,2,Team Rocket Returns,EX,2,Lightning,Stage 2,181.0,1,2,0,1,holofoil,low,2004
ex7-2_reverseHolofoil,Dark Ampharos,120,Rare Holo,Emi Miwa,Pokémon,2,Team Rocket Returns,EX,2,Lightning,Stage 2,181.0,1,2,0,1,reverseHolofoil,high,2004
ru1-2_normal,Cherrim,80,Unknown,Pokemon Rumble,Pokémon,1,Pokémon Rumble,Other,2,Grass,Stage 1,421.0,0,1,1,1,normal,low,2009
mcd19-2_holofoil,Alolan Exeggutor,160,Unknown,Satoshi Shirai,Pokémon,3,McDonald's Collection 2019,Other,2,Grass,Stage 1,103.0,0,1,0,1,holofoil,low,2019
xy5-2_normal,Kakuna,80,Uncommon,Kagemaru Himeno,Pokémon,3,Primal Clash,XY,2,Grass,Stage 1,14.0,0,1,0,1,normal,low,2015
xy5-2_reverseHolofoil,Kakuna,80,Uncommon,Kagemaru Himeno,Pokémon,3,Primal Clash,XY,2,Grass,Stage 1,14.0,0,1,0,1,reverseHolofoil,low,2015
xy11-1_normal,Tangela,80,Common,OOYAMA,Pokémon,3,Steam Siege,XY,1,Grass,Basic,114.0,0,2,0,1,normal,low,2016
xy11-1_reverseHolofoil,Tangela,80,Common,OOYAMA,Pokémon,3,Steam Siege,XY,1,Grass,Basic,114.0,0,2,0,1,reverseHolofoil,low,2016
ex14-1_holofoil,Banette,70,Rare Holo,Kyoko Umemoto,Pokémon,1,Crystal Guardians,EX,1,Psychic,Stage 1,354.0,1,1,1,1,holofoil,low,2006
ex14-1_reverseHolofoil,Banette,70,Rare Holo,Kyoko Umemoto,Pokémon,1,Crystal Guardians,EX,1,Psychic,Stage 1,354.0,1,1,1,1,reverseHolofoil,low,2006
sm12-1_holofoil,Venusaur & Snivy-GX,270,Rare Holo GX,Mitsuhiro Arita,Pokémon,3,Cosmic Eclipse,Sun & Moon,1,Grass,Basic,Unknown,1,2,0,1,holofoil,low,2019
bw1-1_normal,Snivy,60,Common,Kagemaru Himeno,Pokémon,1,Black & White,Black & White,1,Grass,Basic,495.0,0,2,1,1,normal,low,2011
bw1-1_reverseHolofoil,Snivy,60,Common,Kagemaru Himeno,Pokémon,1,Black & White,Black & White,1,Grass,Basic,495.0,0,2,1,1,reverseHolofoil,low,2011
sm115-1_normal,Caterpie,60,Common,tetsuya koizumi,Pokémon,1,Hidden Fates,Sun & Moon,1,Grass,Basic,10.0,0,1,0,1,normal,low,2019
sm115-1_reverseHolofoil,Caterpie,60,Common,tetsuya koizumi,Pokémon,1,Hidden Fates,Sun & Moon,1,Grass,Basic,10.0,0,1,0,1,reverseHolofoil,low,2019
si1-1_reverseHolofoil,Mew,30,Unknown,Keiko Fukuyama,Pokémon,0,Southern Islands,Other,1,Psychic,Basic,151.0,0,1,0,1,reverseHolofoil,high,2001
dp1-1_holofoil,Dialga,90,Rare Holo,Nakaoka,Pokémon,2,Diamond & Pearl,Diamond & Pearl,1,Metal,Basic,483.0,0,2,1,1,holofoil,low,2007
dp1-1_reverseHolofoil,Dialga,90,Rare Holo,Nakaoka,Pokémon,2,Diamond & Pearl,Diamond & Pearl,1,Metal,Basic,483.0,0,2,1,1,reverseHolofoil,low,2007
sm3-1_normal,Caterpie,50,Common,Sekio,Pokémon,1,Burning Shadows,Sun & Moon,1,Grass,Basic,10.0,0,1,0,1,normal,low,2017
sm3-1_reverseHolofoil,Caterpie,50,Common,Sekio,Pokémon,1,Burning Shadows,Sun & Moon,1,Grass,Basic,10.0,0,1,0,1,reverseHolofoil,low,2017
pop7-1_normal,Ampharos,130,Rare,Kouki Saitou,Pokémon,3,POP Series 7,POP,1,Lightning,Stage 2,181.0,1,1,1,1,normal,low,2008
pop7-1_holofoil,Ampharos,130,Rare,Kouki Saitou,Pokémon,3,POP Series 7,POP,1,Lightning,Stage 2,181.0,1,1,1,1,holofoil,low,2008
gym2-1_firstEditionHolofoil,Blaine's Arcanine,90,Rare Holo,Ken Sugimori,Pokémon,3,Gym Challenge,Gym,1,Fire,Stage 1,59.0,0,2,0,1,firstEditionHolofoil,high,2000
col1-1_holofoil,Clefable,80,Rare Holo,sui,Pokémon,1,Call of Legends,HeartGold & SoulSilver,1,Colorless,Stage 1,36.0,0,2,0,1,holofoil,low,2011
col1-1_reverseHolofoil,Clefable,80,Rare Holo,sui,Pokémon,1,Call of Legends,HeartGold & SoulSilver,1,Colorless,Stage 1,36.0,0,2,0,1,reverseHolofoil,low,2011
ex9-1_holofoil,Blaziken,110,Rare Holo,Midori Harada,Pokémon,2,Emerald,EX,1,Fire,Stage 2,257.0,1,2,0,1,holofoil,low,2005
ex9-1_reverseHolofoil,Blaziken,110,Rare Holo,Midori Harada,Pokémon,2,Emerald,EX,1,Fire,Stage 2,257.0,1,2,0,1,reverseHolofoil,low,2005
bw10-1_normal,Surskit,50,Common,Naoyo Kimura,Pokémon,1,Plasma Blast,Black & White,1,Grass,Basic,283.0,0,1,0,1,normal,low,2013
bw10-1_reverseHolofoil,Surskit,50,Common,Naoyo Kimura,Pokémon,1,Plasma Blast,Black & White,1,Grass,Basic,283.0,0,1,0,1,reverseHolofoil,low,2013
swsh35-1_holofoil,Venusaur V,220,Rare Holo V,PLANETA Mochizuki,Pokémon,3,Champion's Path,Sword & Shield,1,Grass,Basic,3.0,0,2,0,1,holofoil,low,2020
xy7-1_normal,Oddish,50,Common,MAHOU,Pokémon,1,Ancient Origins,XY,1,Grass,Basic,43.0,0,1,0,1,normal,low,2015
xy7-1_reverseHolofoil,Oddish,50,Common,MAHOU,Pokémon,1,Ancient Origins,XY,1,Grass,Basic,43.0,0,1,0,1,reverseHolofoil,low,2015
sm1-1_normal,Caterpie,50,Common,Kanako Eo,Pokémon,1,Sun & Moon,Sun & Moon,1,Grass,Basic,10.0,0,2,0,1,normal,low,2017
sm1-1_reverseHolofoil,Caterpie,50,Common,Kanako Eo,Pokémon,1,Sun & Moon,Sun & Moon,1,Grass,Basic,10.0,0,2,0,1,reverseHolofoil,low,2017
ex13-1_holofoil,Armaldo δ,110,Rare Holo,Masakazu Fukuda,Pokémon,3,Holon Phantoms,EX,1,Fighting,Stage 2,348.0,0,2,0,1,holofoil,low,2006
ex13-1_reverseHolofoil,Armaldo δ,110,Rare Holo,Masakazu Fukuda,Pokémon,3,Holon Phantoms,EX,1,Fighting,Stage 2,348.0,0,2,0,1,reverseHolofoil,low,2006
dv1-2_holofoil,Dratini,40,Rare Holo,Naoki Saito,Pokémon,1,Dragon Vault,Black & White,2,Dragon,Basic,147.0,0,2,0,1,holofoil,low,2012
ecard2-H3_unknown,Ariados,70,Rare Holo,Shin-ichi Yoshida,Pokémon,0,Aquapolis,E-Card,H3,Grass,Stage 1,168.0,1,1,0,1,unknown,low,2003
sm12-2_normal,Oddish,60,Common,Yumi,Pokémon,1,Cosmic Eclipse,Sun & Moon,2,Grass,Basic,43.0,0,1,0,1,normal,low,2019
sm12-2_reverseHolofoil,Oddish,60,Common,Yumi,Pokémon,1,Cosmic Eclipse,Sun & Moon,2,Grass,Basic,43.0,0,1,0,1,reverseHolofoil,low,2019
ex9-2_normal,Deoxys,70,Rare Holo,Hironobu Yoshida,Pokémon,1,Emerald,EX,2,Psychic,Basic,386.0,1,1,0,1,normal,low,2005
ex9-2_holofoil,Deoxys,70,Rare Holo,Hironobu Yoshida,Pokémon,1,Emerald,EX,2,Psychic,Basic,386.0,1,1,0,1,holofoil,low,2005
ex9-2_reverseHolofoil,Deoxys,70,Rare Holo,Hironobu Yoshida,Pokémon,1,Emerald,EX,2,Psychic,Basic,386.0,1,1,0,1,reverseHolofoil,low,2005
bw1-2_normal,Snivy,60,Common,5ban Graphics,Pokémon,1,Black & White,Black & White,2,Grass,Basic,495.0,0,1,1,1,normal,low,2011
bw1-2_reverseHolofoil,Snivy,60,Common,5ban Graphics,Pokémon,1,Black & White,Black & White,2,Grass,Basic,495.0,0,1,1,1,reverseHolofoil,low,2011
base4-3_holofoil,Chansey,120,Rare Holo,Ken Sugimori,Pokémon,1,Base Set 2,Base,3,Colorless,Basic,113.0,0,2,1,1,holofoil,low,2000
ru1-3_normal,Ninetales,90,Unknown,Pokemon Rumble,Pokémon,1,Pokémon Rumble,Other,3,Fire,Stage 1,38.0,0,1,0,1,normal,low,2009
xy5-3_normal,Beedrill,120,Rare,Kouki Saitou,Pokémon,0,Primal Clash,XY,3,Grass,Stage 2,15.0,0,2,0,1,normal,low,2015
xy5-3_reverseHolofoil,Beedrill,120,Rare,Kouki Saitou,Pokémon,0,Primal Clash,XY,3,Grass,Stage 2,15.0,0,2,0,1,reverseHolofoil,low,2015
pop6-3_normal,Manaphy,70,Rare,Atsuko Nishida,Pokémon,1,POP Series 6,POP,3,Water,Basic,490.0,0,2,0,1,normal,low,2007
pop6-3_holofoil,Manaphy,70,Rare,Atsuko Nishida,Pokémon,1,POP Series 6,POP,3,Water,Basic,490.0,0,2,0,1,holofoil,low,2007
si1-2_normal,Pidgeot,70,Unknown,Keiko Fukuyama,Pokémon,0,Southern Islands,Other,2,Colorless,Stage 2,18.0,0,2,1,1,normal,low,2001
ex11-3_holofoil,Dragonite δ,100,Rare Holo,Ryo Ueda,Pokémon,2,Delta Species,EX,3,Lightning,Stage 2,149.0,1,2,2,1,holofoil,high,2005
ex11-3_reverseHolofoil,Dragonite δ,100,Rare Holo,Ryo Ueda,Pokémon,2,Delta Species,EX,3,Lightning,Stage 2,149.0,1,2,2,1,reverseHolofoil,high,2005
pl3-3_holofoil,Drifblim FB,80,Rare Holo,Lee HyunJung,Pokémon,2,Supreme Victors,Platinum,3,Psychic,Basic,426.0,1,1,1,1,holofoil,low,2009
pl3-3_reverseHolofoil,Drifblim FB,80,Rare Holo,Lee HyunJung,Pokémon,2,Supreme Victors,Platinum,3,Psychic,Basic,426.0,1,1,1,1,reverseHolofoil,low,2009
base3-3_firstEditionHolofoil,Ditto,50,Rare Holo,Keiji Kinebuchi,Pokémon,1,Fossil,Base,3,Colorless,Basic,132.0,1,0,1,1,firstEditionHolofoil,high,1999
hgss1-3_holofoil,Clefable,80,Rare Holo,Masakazu Fukuda,Pokémon,1,HeartGold & SoulSilver,HeartGold & SoulSilver,3,Colorless,Stage 1,36.0,0,2,0,1,holofoil,low,2010
hgss1-3_reverseHolofoil,Clefable,80,Rare Holo,Masakazu Fukuda,Pokémon,1,HeartGold & SoulSilver,HeartGold & SoulSilver,3,Colorless,Stage 1,36.0,0,2,0,1,reverseHolofoil,low,2010
ex13-2_holofoil,Cradily δ,100,Rare Holo,Kouki Saitou,Pokémon,2,Holon Phantoms,EX,2,Darkness,Stage 2,346.0,0,2,0,1,holofoil,low,2006
ex13-2_reverseHolofoil,Cradily δ,100,Rare Holo,Kouki Saitou,Pokémon,2,Holon Phantoms,EX,2,Darkness,Stage 2,346.0,0,2,0,1,reverseHolofoil,low,2006
hgss4-3_holofoil,Celebi,70,Rare Holo,Shin Nagasawa,Pokémon,1,HS—Triumphant,HeartGold & SoulSilver,3,Psychic,Basic,251.0,0,2,0,1,holofoil,low,2010
hgss4-3_reverseHolofoil,Celebi,70,Rare Holo,Shin Nagasawa,Pokémon,1,HS—Triumphant,HeartGold & SoulSilver,3,Psychic,Basic,251.0,0,2,0,1,reverseHolofoil,low,2010
xy7-2_normal,Gloom,80,Uncommon,Masakazu Fukuda,Pokémon,1,Ancient Origins,XY,2,Grass,Stage 1,44.0,0,1,0,1,normal,low,2015
xy7-2_reverseHolofoil,Gloom,80,Uncommon,Masakazu Fukuda,Pokémon,1,Ancient Origins,XY,2,Grass,Stage 1,44.0,0,1,0,1,reverseHolofoil,low,2015
bw10-2_normal,Masquerain,80,Rare,5ban Graphics,Pokémon,1,Plasma Blast,Black & White,2,Grass,Stage 1,284.0,1,1,0,1,normal,low,2013
bw10-2_reverseHolofoil,Masquerain,80,Rare,5ban Graphics,Pokémon,1,Plasma Blast,Black & White,2,Grass,Stage 1,284.0,1,1,0,1,reverseHolofoil,low,2013
ex7-3_holofoil,Dark Crobat,90,Rare Holo,Kyoko Koizumi,Pokémon,1,Team Rocket Returns,EX,3,Grass,Stage 2,169.0,1,2,1,1,holofoil,low,2004
ex7-3_reverseHolofoil,Dark Crobat,90,Rare Holo,Kyoko Koizumi,Pokémon,1,Team Rocket Returns,EX,3,Grass,Stage 2,169.0,1,2,1,1,reverseHolofoil,low,2004
ex12-3_holofoil,Cradily,100,Rare Holo,Hajime Kusajima,Pokémon,2,Legend Maker,EX,3,Grass,Stage 2,346.0,0,3,0,1,holofoil,low,2006
ex12-3_reverseHolofoil,Cradily,100,Rare Holo,Hajime Kusajima,Pokémon,2,Legend Maker,EX,3,Grass,Stage 2,346.0,0,3,0,1,reverseHolofoil,low,2006
swsh35-2_normal,Weedle,60,Common,Yuka Morii,Pokémon,1,Champion's Path,Sword & Shield,2,Grass,Basic,13.0,0,1,0,1,normal,low,2020
swsh35-2_reverseHolofoil,Weedle,60,Common,Yuka Morii,Pokémon,1,Champion's Path,Sword & Shield,2,Grass,Basic,13.0,0,1,0,1,reverseHolofoil,low,2020
gym2-2_firstEditionHolofoil,Blaine's Charizard,100,Rare Holo,Ken Sugimori,Pokémon,3,Gym Challenge,Gym,2,Fire,Stage 2,6.0,0,2,1,1,firstEditionHolofoil,high,2000
xy2-3_normal,Butterfree,130,Rare,sui,Pokémon,1,Flashfire,XY,3,Grass,Stage 2,12.0,0,2,1,1,normal,low,2014
xy2-3_reverseHolofoil,Butterfree,130,Rare,sui,Pokémon,1,Flashfire,XY,3,Grass,Stage 2,12.0,0,2,1,1,reverseHolofoil,low,2014
xy11-2_normal,Tangrowth,130,Uncommon,kirisAki,Pokémon,4,Steam Siege,XY,2,Grass,Stage 1,465.0,0,2,0,1,normal,low,2016
xy11-2_reverseHolofoil,Tangrowth,130,Uncommon,kirisAki,Pokémon,4,Steam Siege,XY,2,Grass,Stage 1,465.0,0,2,0,1,reverseHolofoil,low,2016
det1-3_holofoil,Morelull,50,Common,MPC Film,Pokémon,1,Detective Pikachu,Sun & Moon,3,Grass,Basic,755.0,0,1,0,1,holofoil,low,2019
ex3-3_holofoil,Crawdaunt,80,Rare Holo,Hisao Nakamura,Pokémon,2,Dragon,EX,3,Water,Stage 1,342.0,1,1,0,1,holofoil,low,2003
ex3-3_reverseHolofoil,Crawdaunt,80,Rare Holo,Hisao Nakamura,Pokémon,2,Dragon,EX,3,Water,Stage 1,342.0,1,1,0,1,reverseHolofoil,low,2003
dv1-3_holofoil,Dragonair,70,Rare Holo,Hajime Kusajima,Pokémon,2,Dragon Vault,Black & White,3,Dragon,Stage 1,148.0,0,2,0,1,holofoil,low,2012
sm9-3_normal,Weedle,50,Common,SATOSHI NAKAI,Pokémon,1,Team Up,Sun & Moon,3,Grass,Basic,13.0,0,1,0,1,normal,low,2019
sm9-3_reverseHolofoil,Weedle,50,Common,SATOSHI NAKAI,Pokémon,1,Team Up,Sun & Moon,3,Grass,Basic,13.0,0,1,0,1,reverseHolofoil,low,2019
pop7-2_normal,Gallade,130,Rare,Daisuke Ito,Pokémon,2,POP Series 7,POP,2,Fighting,Stage 2,475.0,0,2,0,1,normal,low,2008
pop7-2_holofoil,Gallade,130,Rare,Daisuke Ito,Pokémon,2,POP Series 7,POP,2,Fighting,Stage 2,475.0,0,2,0,1,holofoil,low,2008
sm1-2_normal,Metapod,80,Uncommon,Yuka Morii,Pokémon,3,Sun & Moon,Sun & Moon,2,Grass,Stage 1,11.0,0,2,0,1,normal,low,2017
sm1-2_reverseHolofoil,Metapod,80,Uncommon,Yuka Morii,Pokémon,3,Sun & Moon,Sun & Moon,2,Grass,Stage 1,11.0,0,2,0,1,reverseHolofoil,low,2017
mcd19-3_holofoil,Magmar,80,Unknown,Yumi,Pokémon,2,McDonald's Collection 2019,Other,3,Fire,Basic,126.0,0,2,0,1,holofoil,low,2019
col1-2_holofoil,Deoxys,80,Rare Holo,Ryo Ueda,Pokémon,1,Call of Legends,HeartGold & SoulSilver,2,Psychic,Basic,386.0,0,1,0,1,holofoil,low,2011
col1-2_reverseHolofoil,Deoxys,80,Rare Holo,Ryo Ueda,Pokémon,1,Call of Legends,HeartGold & SoulSilver,2,Psychic,Basic,386.0,0,1,0,1,reverseHolofoil,low,2011
pl1-3_holofoil,Blaziken,130,Rare Holo,Hajime Kusajima,Pokémon,1,Platinum,Platinum,3,Fire,Stage 2,257.0,1,2,0,1,holofoil,low,2009
